,price,location,baths,bedrooms,Total_Area
156746,33000000,DHA Defence,0,6,5445.0
156944,13500000,Soan Garden,6,5,17696.315
156945,11500000,I-14,6,5,1361.255
157194,38000000,DHA Defence,6,5,5445.0
157195,13000000,Bahria Town,0,3,1361.255
157196,13500000,Bahria Town,0,3,1361.255
157197,14000000,Bahria Town,0,3,1361.255
157198,14500000,Bahria Town,0,3,1361.255
157199,15000000,Bahria Town,0,3,1361.255
157200,19000000,Bahria Town,0,5,2178.008
157201,19500000,Bahria Town,0,5,2178.008
157202,20000000,Bahria Town,0,5,2178.008
157203,25000000,Bahria Town,0,5,2722.51
157204,25500000,Bahria Town,0,5,2722.51
157205,26000000,Bahria Town,0,5,2722.51
157206,27000000,Bahria Town,0,5,2722.51
157207,28000000,Bahria Town,0,5,2722.51
157208,40000000,Bahria Town,0,6,5445.0
157209,41000000,Bahria Town,0,6,5445.0
157210,42000000,Bahria Town,0,6,5445.0
157211,43000000,Bahria Town,0,6,5445.0
157212,45000000,Bahria Town,0,6,5445.0
157213,16800000,G-13,5,4,11979.043999999998
157214,16200000,G-13,5,4,11979.043999999998
157217,35000000,G-11,8,8,18240.817
157218,14500000,F-17,6,6,1905.757
157469,13500000,G-13,5,4,1089.004
157470,80000000,DHA Defence,7,7,10890.0
157471,56000000,DHA Defence,7,5,5445.0
157472,49600000,DHA Defence,7,6,5445.0
157473,40000000,DHA Defence,5,5,5445.0
157474,40000000,DHA Defence,7,6,5445.0
157475,47500000,DHA Defence,6,6,5445.0
157476,10500000,Soan Garden,0,0,1633.506
157477,16500000,other,2,2,3267.012
157478,45000000,DHA Defence,6,6,5445.0
157479,49000000,DHA Defence,6,6,5445.0
157481,75000000,F-10,9,8,5445.0
157483,44000000,DHA Defence,6,6,5445.0
157484,43800000,DHA Defence,5,5,5445.0
157674,37000000,DHA Defence,7,6,5445.0
157675,29500000,DHA Defence,5,4,3267.012
157677,34000000,E-11,5,4,2178.008
157678,27000000,DHA Defence,5,4,2722.51
157680,16000000,G-13,5,4,11979.043999999998
157681,32500000,National Police Foundation O-9,10,10,108900.0
157682,33500000,Gulberg,6,6,5445.0
157925,46000000,E-11,9,7,4356.016
157926,34000000,Bahria Town,0,0,2994.7609999999995
157927,14000000,B-17,0,4,2178.008
157937,8000000,Pakistan Town,2,2,1361.255
157938,12000000,Royal Avenue,6,4,1361.255
157939,13000000,Royal Avenue,6,4,1361.255
158247,15000000,Pakistan Town,6,6,2722.51
158248,6000000,Soan Garden,2,2,12251.294999999998
158249,55000000,D-12,0,0,3811.514
158252,17500000,D-12,0,0,1089.004
158253,17500000,D-12,0,0,1089.004
158254,18500000,D-12,0,0,1089.004
158255,18500000,D-12,0,0,1089.004
158256,15000000,D-12,0,0,1089.004
158257,25000000,D-12,0,0,1361.255
158258,25000000,D-12,0,0,1361.255
158259,19000000,D-12,0,0,1089.004
158260,21000000,D-12,0,0,1361.255
158261,27000000,D-12,0,0,1361.255
158262,35000000,D-12,0,0,2178.008
158263,38000000,D-12,0,0,2722.51
158264,47000000,D-12,0,0,2722.51
158265,43000000,D-12,0,0,2722.51
158266,17500000,D-12,0,0,1089.004
158267,18500000,D-12,0,0,1089.004
158268,18500000,D-12,0,0,1089.004
158269,19000000,D-12,0,0,1089.004
158270,15000000,D-12,0,0,1089.004
158271,25000000,D-12,0,0,1361.255
158272,25000000,D-12,0,0,1361.255
158273,21000000,D-12,0,0,1361.255
158274,27000000,D-12,0,0,1361.255
158275,35000000,D-12,0,0,2178.008
158276,38000000,D-12,0,0,2722.51
158277,47000000,D-12,0,0,2722.51
158278,43000000,D-12,0,0,2722.51
158279,55000000,D-12,0,0,3811.514
158280,18500000,D-12,0,0,1089.004
158432,25000000,G-13,4,4,1905.757
158729,9500000,other,4,6,1089.004
158732,9500000,Taramrri,5,4,15246.056
158733,12000000,I-14,0,0,15246.056
158734,14000000,I-14,0,0,18240.817
158735,11500000,I-14,0,0,15246.056
158736,12500000,I-14,0,0,15246.056
158737,16000000,I-14,0,0,2178.008
158738,11000000,I-14,0,0,15246.056
158739,12000000,I-14,0,0,15246.056
158740,13800000,I-14,0,0,15246.056
158741,22000000,I-14,0,0,25319.343
158742,25000000,Bahria Town,6,4,2722.51
158972,165000000,F-8,10,11,10890.0
158973,2600000,Simly Dam Road,2,2,816.7529999999999
158974,16000000,National Police Foundation O-9,6,5,2722.51
158976,24500000,CBR Town,7,7,38659.642
158979,6500000,H-13,3,3,1361.255
158980,19000000,G-11,3,3,1361.255
158981,16500000,G-11,2,2,1089.004
158982,22500000,CBR Town,7,7,38659.642
159211,55000000,I-8,0,9,33759.124
159212,50000000,Bani Gala,0,0,5445.0
159213,4500000,Bani Gala,0,0,1361.255
159214,8000000,Bani Gala,0,0,1361.255
159215,17500000,Bani Gala,0,0,2722.51
159216,8000000,Bani Gala,0,0,1361.255
159217,6000000,Bani Gala,0,0,1633.506
159218,20000000,Bani Gala,0,0,2722.51
159219,11000000,Bani Gala,0,0,14973.804999999998
159220,11000000,Bani Gala,0,0,2722.51
159221,16500000,Bani Gala,0,0,2722.51
159222,6000000,Bani Gala,0,0,1633.506
159223,5800000,Bani Gala,0,0,1633.506
159224,5500000,Bani Gala,0,0,1633.506
159225,6200000,Bani Gala,0,0,1633.506
159226,50000000,Bani Gala,0,0,5445.0
159227,50500000,Bani Gala,0,0,5445.0
159228,51000000,Bani Gala,0,0,5445.0
159229,49800000,Bani Gala,0,0,5445.0
159230,49500000,Bani Gala,0,0,5445.0
159231,49300000,Bani Gala,0,0,5445.0
159232,50000000,Bani Gala,0,0,5445.0
159233,4500000,Bani Gala,0,0,1361.255
159234,8000000,Bani Gala,0,0,1361.255
159235,17500000,Bani Gala,0,0,2722.51
159236,8000000,Bani Gala,0,0,1361.255
159237,6000000,Bani Gala,0,0,1633.506
159238,20000000,Bani Gala,0,0,2722.51
159239,11000000,Bani Gala,0,0,14973.804999999998
159240,11000000,Bani Gala,0,0,2722.51
