,price,location,baths,bedrooms,Total_Area
2,16500000,G-15,6,5,2178.008
3,43500000,Bani Gala,4,4,10890.0
4,7000000,DHA Defence,3,3,2178.008
5,34500000,Ghauri Town,8,8,87120.0
6,27000000,Korang Town,8,8,5445.0
8,50000000,DHA Defence,7,7,5445.0
12,400000000,F-6,0,0,245025.0
16,19000000,DHA Defence,3,3,2722.51
17,80000000,DHA Defence,7,7,10890.0
18,26900000,B-17,6,6,5445.0
20,55000000,G-11,7,6,3811.514
21,4500000,Bhara kahu,3,3,1361.255
24,4500000,Garden Town,4,4,12795.797
25,6800000,Koral Town,4,4,1089.004
26,20000000,Soan Garden,5,6,3267.012
28,100000000,F-6,5,5,48460.67799999999
31,220000000,F-7,10,10,114345.0
32,4500000,Ghauri Town,3,2,1361.255
33,12500000,other,5,6,2178.008
34,230000000,E-7,4,4,136125.0
221,38800000,Emaar Canyon Views,4,5,81675.0
224,46500000,G-13,9,9,29675.359
226,14000000,F-17,6,4,1905.757
228,32500000,Korang Town,9,7,3267.012
230,30000000,Bahria Town,7,6,2722.51
231,21000000,Bahria Town,6,5,2722.51
376,14000000,G-13,5,5,1089.004
377,14500000,Ghauri Town,5,4,1905.757
378,19000000,G-11,5,5,15246.056
379,850000000,F-6,10,9,261360.0
381,6500000,DHA Defence,3,3,2178.008
382,18500000,DHA Defence,4,3,2722.51
383,4200000,DHA Defence,0,2,1361.255
384,15500000,PWD Housing Scheme,5,5,2722.51
386,105000000,F-11,10,7,5445.0
391,31000000,G-13,10,8,2722.51
393,10500000,Kuri Road,4,3,2178.008
394,14500000,G-11,3,4,11979.043999999998
395,83000000,F-11,6,6,5445.0
397,13000000,Pakistan Town,4,4,3267.012
400,9000000,Chatha Bakhtawar,4,4,1361.255
401,65000000,G-11,6,6,5445.0
404,90000000,E-11,9,9,5445.0
405,80000000,F-10,6,6,5445.0
406,85000000,F-10,6,6,5445.0
407,85000000,F-11,6,6,5445.0
409,105000000,F-7,5,4,70785.0
594,8500000,Bani Gala,5,5,1361.255
597,13000000,G-13,4,3,1361.255
599,32000000,B-17,10,8,5445.0
600,50000000,F-8,5,4,25319.343
602,21000000,Bahria Town,6,5,2722.51
603,80000000,F-8,5,5,5445.0
606,36500000,Bahria Town,7,6,5445.0
607,26000000,DHA Defence,0,4,2722.51
608,23500000,Bahria Town,6,5,2722.51
609,43000000,Bahria Town,8,6,5445.0
610,23000000,Bahria Town,6,5,2722.51
611,27500000,G-11,5,5,2178.008
613,95000000,F-11,9,9,5445.0
769,72500000,Bahria Town,7,6,10890.0
771,320000000,F-8,10,10,196020.0
773,41000000,G-11,6,6,38659.642
776,12000000,Bhara kahu,4,4,2178.008
778,55000000,Emaar Canyon Views,7,7,98010.0
779,140000000,F-11,6,9,10890.0
780,54500000,I-8,0,4,33759.124
889,4500000,Lehtarar Road,3,2,1361.255
890,23500000,G-11,4,4,2178.008
905,37900000,G-9,6,6,38659.642
907,13000000,other,5,6,2722.51
908,165000000,F-8,6,6,10890.0
910,85000000,F-10,7,6,70785.0
916,110000000,F-8,9,0,5445.0
917,9500000,Soan Garden,3,3,2722.51
919,48000000,Bani Gala,8,8,81675.0
920,74800000,E-11,10,10,5445.0
921,30000000,G-8,0,5,2450.259
1050,28000000,Bahria Town,6,5,2994.7609999999995
1210,8500000,I-14,3,4,816.7529999999999
1211,22000000,DHA Defence,4,6,2722.51
1222,4200000,Tarlai,3,5,1089.004
1223,35000000,G-13,6,6,29675.359
1224,14000000,PWD Housing Scheme,4,4,18240.817
1225,4300000,Simly Dam Road,3,2,1361.255
1226,36000000,DHA Defence,7,7,4356.016
1227,350000000,E-7,8,8,103455.0
1228,150000000,F-7,7,7,98010.0
1229,4700000,Ghauri Town,0,0,1089.004
1230,16500000,I-9,4,5,1633.506
1231,170000000,E-11,0,0,10890.0
1232,4500000,Burma Town,3,2,1089.004
1234,40000000,Emaar Canyon Views,6,5,5445.0
1236,40000000,PWD Housing Scheme,6,6,5445.0
1237,4700000,Lehtarar Road,5,5,1361.255
1238,180000000,F-7,8,7,70785.0
1239,14000000,F-17,6,4,1905.757
1240,42000000,G-13,10,9,2994.7609999999995
1241,22500000,Bani Gala,4,3,5172.768999999999
1242,2300000,Burma Town,3,4,816.7529999999999
1244,30000000,National Police Foundation O-9,7,4,5445.0
1245,67500000,Naval Anchorage,8,7,10890.0
1246,4800000,Islamabad Highway,2,2,1089.004
1247,50000000,CBR Town,3,4,38659.642
1248,38000000,E-11,7,7,2722.51
1251,17000000,Bhara kahu,0,0,2994.7609999999995
1252,5200000,Ghauri Town,4,3,816.7529999999999
1253,170000000,F-7,4,4,119790.0
1254,12500000,Bani Gala,4,4,2722.51
1255,52000000,PWD Housing Scheme,0,3,3811.514
1256,46500000,DHA Defence,6,5,5445.0
1258,30000000,National Police Foundation,0,0,5445.0
1259,21000000,G-10,5,4,1361.255
1260,13500000,Bahria Town,4,3,1361.255
1262,170000000,F-7,4,4,114345.0
1263,2700000,Jhang Syedan,3,2,1089.004
1264,63000000,F-11,0,0,5445.0
1265,58000000,I-8,6,6,5445.0
1266,12500000,Korang Town,5,4,1361.255
1268,17500000,G-15,3,2,2178.008
1269,16900000,G-10,4,3,1633.506
1270,22000000,DHA Defence,5,6,2722.51
1271,21900000,DHA Defence,5,6,2722.51
1272,22000000,DHA Defence,5,5,2722.51
1275,3000000,Bhara kahu,2,2,1089.004
1276,5200000,Ghauri Town,3,2,1089.004
1277,14000000,D-17,5,5,1905.757
1278,3500000,Ghauri Town,2,3,1361.255
1279,26000000,Simly Dam Road,0,6,65340.0
1280,50000000,G-13,8,0,5445.0
1281,2600000,Arsalan Town,1,2,1089.004
1282,9700000,Kashmir Highway,6,4,14973.804999999998
1496,14500000,I-10,2,4,1361.255
1497,13000000,B-17,6,6,19874.323
1498,7500000,Soan Garden,4,3,2178.008
1499,90000000,PWD Road,0,0,5445.0
1500,170000000,F-7,6,6,114345.0
1502,14200000,other,2,2,1905.757
1503,13500000,Ghauri Town,5,3,2994.7609999999995
1504,19700000,other,2,2,26408.347
1505,25600000,other,3,3,43287.909
1506,4300000,DHA Defence,2,2,1361.255
1507,8500000,Bani Gala,6,4,1905.757
1508,11500000,B-17,6,4,2178.008
1509,350000000,F-8,9,8,27225.0
1511,350000000,F-6,10,11,234135.0
1514,21000000,Bahria Town,6,5,2722.51
1515,23000000,Bahria Town,6,5,2722.51
1516,40000000,Bahria Town,7,6,5445.0
1517,43000000,Bahria Town,7,6,5445.0
1518,23500000,Bahria Town,6,5,2722.51
1520,3800000,Ali Pur,2,3,1361.255
1521,85000000,E-11,9,7,5445.0
1522,9000000,FECHS,3,4,1361.255
1523,22000000,DHA Defence,5,6,2722.51
1524,170000000,E-11,6,6,114345.0
1527,190000000,F-8,9,9,70785.0
1528,5000000,Khanna Pul,0,6,816.7529999999999
1529,14000000,Pakistan Town,5,4,1633.506
1531,14000000,Pakistan Town,5,4,1633.506
1532,52000000,E-11,6,6,4356.016
1533,13000000,Pakistan Town,5,4,1633.506
1534,6300000,Shaheen Town,3,3,11979.043999999998
1814,15000000,Ghauri Town,6,5,1633.506
1815,36000000,E-11,7,5,27497.351
1821,50000000,National Police Foundation,0,0,4356.016
1822,21000000,Ghauri Town,7,7,2722.51
1823,64000000,E-11,10,7,4900.518
1828,50000000,Bani Gala,9,6,70785.0
1829,55000000,DHA Defence,5,5,5445.0
1830,42000000,Bahria Town,7,6,5445.0
1831,38000000,Bahria Town,6,5,5445.0
2081,22500000,Bahria Town,6,5,2722.51
2082,5300000,Ali Pur,2,2,11434.542
2083,22000000,DHA Defence,5,6,2722.51
2084,2550000,Islamabad Highway,2,1,816.7529999999999
2085,14000000,Bahria Town,3,3,1361.255
2086,23000000,G-13,4,4,29675.359
2088,21500000,E-11,7,6,1633.506
2089,1800000,Bhara kahu,2,2,6806.275
2090,5000000,Jhangi Syedan,0,0,2450.259
2091,9000000,F-17,5,4,1905.757
2092,15500000,G-15,0,0,2178.008
2093,17000000,G-15,5,5,1905.757
2094,15500000,Chak Shahzad,9,9,1905.757
2095,14000000,H-13,6,5,20418.825
2098,2250000,Lehtarar Road,2,2,816.7529999999999
2100,14000000,FECHS,6,5,1905.757
2357,31500000,E-11,7,6,2722.51
2358,22000000,DHA Defence,5,6,2722.51
2359,8700000,H-13,4,4,816.7529999999999
2360,14000000,FECHS,6,5,2178.008
2361,6700000,Ghauri Town,3,2,1905.757
2363,41500000,Bahria Town,7,7,4356.016
2365,28500000,G-14,6,5,2722.51
2366,34500000,G-13,9,7,29675.359
2367,25000000,Bani Gala,4,4,70785.0
2369,25000000,National Police Foundation,9,6,5445.0
2371,4600000,H-13,4,3,1089.004
2373,37500000,Bhara kahu,5,4,10890.0
2375,14000000,Pakistan Town,0,0,2722.51
2377,21500000,Shah Allah Ditta,4,4,2722.51
2378,18800000,Bhara kahu,5,5,59895.0
2381,6500000,Chatha Bakhtawar,4,3,1361.255
2382,17500000,Bani Gala,8,6,2450.259
2383,7000000,Islamabad Expressway,3,3,5445.0
2384,5700000,Kashmir Highway,3,3,31853.367
2385,17000000,Ghauri Town,7,5,2722.51
2386,3600000,Ali Pur,0,2,1089.004
2629,62500000,Bahria Town,7,5,98010.0
2630,37000000,Naval Anchorage,6,6,5445.0
2631,17000000,Margalla Town,5,5,1633.506
2634,7600000,Ghauri Town,3,2,1633.506
2635,13000000,Bahria Town,3,3,1361.255
2636,37500000,Tarnol,6,6,65340.0
2637,8800000,other,3,4,1361.255
2638,9000000,FECHS,2,2,1905.757
2639,4200000,Ali Pur,3,3,12251.294999999998
2640,14000000,Bahria Town,3,3,1361.255
2642,35000000,G-8,5,5,2178.008
2643,28000000,G-15,4,4,2178.008
2646,27000000,B-17,0,6,5445.0
2647,10000000,Shaheen Town,7,5,40020.897
2648,12000000,Soan Garden,3,3,38659.642
2649,3600000,other,2,4,2178.008
2651,11000000,H-13,5,5,1361.255
2653,25800000,G-15,7,7,3811.514
2654,32000000,G-9,4,5,38659.642
2655,38000000,DHA Defence,6,5,5445.0
2927,41500000,G-13,8,7,38659.642
2929,6500000,Ghauri Town,2,2,1361.255
2930,47500000,DHA Defence,0,9,4356.016
2931,90000000,F-6,6,6,48460.67799999999
2933,17000000,CBR Town,4,4,2994.7609999999995
2934,6500000,Bhara kahu,0,0,2178.008
2935,20000000,G-9,0,4,1633.506
2936,62500000,Bahria Town,6,5,98010.0
2937,51000000,E-11,7,6,4356.016
2938,11500000,Ghauri Town,6,4,1633.506
2940,22000000,DHA Defence,5,6,2722.51
2942,9200000,Shaheen Town,6,4,1361.255
2944,25000000,National Police Foundation O-9,6,6,5445.0
2946,12000000,Ghauri Town,6,6,1361.255
2947,13000000,Pakistan Town,5,4,1633.506
2948,200000000,F-7,10,9,10890.0
2950,16000000,other,5,5,2178.008
2951,13000000,Zaraj Housing Scheme,5,4,2722.51
2952,90000000,E-11,8,6,5445.0
2953,50000000,DHA Defence,6,6,5445.0
2954,41000000,G-9,3,5,3811.514
2955,97500000,F-8,7,7,70785.0
2956,22500000,G-11,5,6,1361.255
2957,85000000,F-11,6,7,5445.0
2958,13000000,Ghauri Town,7,6,1905.757
2959,15000000,G-13,6,5,1089.004
2960,11000000,other,5,4,2178.008
2961,56000000,Bhara kahu,10,11,59895.0
3236,60000000,F-10,7,7,5445.0
3237,18500000,Jhangi Syedan,0,0,2178.008
3242,16500000,I-10,4,5,1633.506
3243,30000000,Bahria Town,7,4,2722.51
3244,23000000,Soan Garden,6,6,4083.765
3245,4500000,Jhangi Syedan,3,3,1089.004
3247,30000000,DHA Defence,6,6,4900.518
3249,75000000,E-11,8,7,5445.0
3251,90000000,E-11,7,6,5445.0
3252,21000000,D-17,5,4,2722.51
3253,25000000,G-13,5,4,2994.7609999999995
3254,25000000,other,10,10,5445.0
3256,107500000,F-10,8,7,76230.0
3259,15000000,G-15,5,5,2178.008
3260,13500000,G-13,4,4,1089.004
3261,3450000,Khanna Pul,2,6,816.7529999999999
3263,6500000,PWD Housing Scheme,2,2,9528.785
3264,43000000,G-15,8,10,76230.0
3545,9000000,Bhara kahu,6,6,1361.255
3546,5800000,Kuri Road,3,4,1361.255
3547,31500000,G-10,5,5,29675.359
3549,10700000,Kuri Road,3,3,2178.008
3551,6500000,Bhara kahu,2,3,1361.255
3553,8000000,Ghauri Town,0,0,1361.255
3554,8500000,Shaheen Town,4,3,9801.036
3556,6500000,other,4,2,1905.757
3557,11000000,Kuri Road,3,3,2178.008
3558,17500000,B-17,3,3,5445.0
3559,22500000,G-10,5,4,1361.255
3560,11000000,Shaheen Town,6,6,1905.757
3561,12000000,CBR Town,5,5,1905.757
3562,2100000,Ali Pur,3,3,816.7529999999999
3563,39500000,DHA Defence,6,5,5445.0
3564,29500000,E-11,0,5,2178.008
3565,14000000,G-13,5,4,11979.043999999998
3566,3800000,Taramrri,5,4,816.7529999999999
3874,13000000,G-13,5,5,11979.043999999998
3875,170000000,F-7,6,5,114345.0
3876,42500000,Bahria Town,7,6,5445.0
3877,43000000,Bahria Town,7,6,5445.0
3878,42000000,Bahria Town,7,6,5445.0
3879,22500000,Bahria Town,6,5,2722.51
3880,38000000,Bahria Town,6,5,5445.0
3881,62500000,Bani Gala,6,4,179685.0
3882,8500000,Ghauri Town,0,0,1089.004
3883,14000000,F-10,0,0,9801.036
3885,45000000,DHA Defence,6,5,5445.0
3887,65000000,F-10,6,6,5445.0
3888,85000000,F-10,6,6,5445.0
3889,65000000,F-10,5,5,5445.0
3890,85000000,F-10,6,6,65340.0
3892,40000000,H-13,8,8,98010.0
3894,80000000,F-11,7,7,5445.0
3895,32500000,G-13,9,8,2722.51
3896,200000000,F-8,9,8,70785.0
3897,65000000,I-8,0,0,3267.012
3899,8500000,Chatha Bakhtawar,3,2,1361.255
3901,11500000,Korang Town,5,4,1633.506
3902,5500000,Lehtarar Road,0,0,1361.255
3905,13000000,D-17,3,2,2994.7609999999995
3906,4500000,Islamabad Expressway,6,6,816.7529999999999
3907,42500000,G-10,7,7,3811.514
3908,29500000,F-17,8,7,5445.0
3909,4800000,Ghauri Town,3,2,1361.255
3910,29500000,E-18,3,5,136125.0
3911,18500000,Soan Garden,0,0,41926.654
4201,24500000,G-11,5,4,2178.008
4203,27500000,I-10,5,8,25319.343
4204,4200000,Jhang Syedan,3,3,1361.255
4205,26000000,Bahria Town,8,6,5445.0
4206,13000000,Korang Town,4,5,1905.757
4207,7600000,Bhara kahu,4,3,1905.757
4208,23000000,G-8,4,5,1361.255
4209,33500000,Bahria Town,4,3,70785.0
4210,260000000,F-6,8,8,10890.0
4211,46000000,Bahria Town,9,7,59895.0
4212,110000000,F-11,9,0,5445.0
4213,8800000,Shaheen Town,6,4,1361.255
4214,7500000,Shaheen Town,3,2,2178.008
4215,7000000,Lehtarar Road,6,4,1361.255
4216,140000000,F-7,5,4,70785.0
4218,9500000,Bhara kahu,4,4,1633.506
4220,32000000,G-13,8,7,2722.51
4221,19500000,other,6,6,2722.51
4222,5700000,Taramrri,4,4,816.7529999999999
4223,11500000,H-13,6,6,1361.255
4224,21000000,G-14,0,0,2722.51
4225,6500000,other,6,11,2722.51
4226,8500000,other,3,3,2722.51
4227,5500000,Ghauri Town,0,0,1361.255
4229,14200000,Soan Garden,7,7,2722.51
4231,7100000,FECHS,3,2,1905.757
4526,15000000,Bani Gala,0,0,5445.0
4527,8500000,Bani Gala,4,4,1633.506
4529,25000000,other,5,5,10890.0
4530,35000000,Emaar Canyon Views,6,5,76230.0
4531,52500000,Naval Anchorage,0,7,5445.0
4532,7300000,D-17,4,4,1089.004
4533,4500000,DHA Defence,0,0,1361.255
4534,19000000,Zaraj Housing Scheme,0,6,2722.51
4538,18000000,National Police Foundation,6,6,2722.51
4540,82500000,F-10,6,6,59895.0
4542,68000000,F-11,5,6,5445.0
4545,10000000,other,4,4,1905.757
4546,14000000,Bahria Town,3,3,1361.255
4547,7500000,Gulshan-e-Khudadad,3,3,15246.056
4548,6000000,Jhangi Syedan,4,4,1361.255
4550,57500000,F-11,9,7,4356.016
4551,7000000,Ghauri Town,6,6,1089.004
4552,30000000,National Police Foundation,6,6,5445.0
4553,4500000,Bhara kahu,3,2,1633.506
4554,5000000,Burma Town,3,2,1633.506
4555,10500000,Soan Garden,4,3,2994.7609999999995
4557,17000000,G-13,0,5,1089.004
4559,14000000,Bahria Town,3,3,1361.255
4563,14000000,D-17,5,4,1633.506
4564,42500000,DHA Defence,6,6,5445.0
4566,13500000,Bahria Town,3,3,1905.757
4567,16500000,G-15,6,6,1905.757
4568,28000000,E-11,9,6,18240.817
4880,42500000,Bahria Town,7,5,5445.0
4881,18000000,Chak Shahzad,4,4,25319.343
4882,35000000,G-15,8,6,2722.51
4883,8500000,PWD Road,4,3,1361.255
4884,45000000,DHA Defence,9,7,5445.0
4888,45000000,DHA Defence,9,7,10890.0
4890,40000000,G-9,4,4,38659.642
4892,10700000,Kuri Road,3,3,2178.008
4893,15000000,G-11,2,3,9801.036
4896,30000000,Bahria Town,6,6,2722.51
4897,18500000,Pakistan Town,10,9,2450.259
4898,37500000,Korang Town,7,6,5445.0
4899,9300000,H-13,4,4,1361.255
4901,4800000,Ghauri Town,0,2,1361.255
4902,11000000,Jhangi Syedan,7,4,1361.255
4905,15000000,Soan Garden,7,6,38659.642
4906,9500000,Bhara kahu,4,4,1633.506
4908,29000000,G-15,0,6,3267.012
4909,29000000,Kuri Road,4,4,5445.0
4910,33000000,G-13,10,10,2994.7609999999995
4911,12000000,Ghauri Town,5,7,1633.506
4912,45000000,DHA Defence,6,6,5445.0
4913,4500000,Jhangi Syedan,3,2,1089.004
4914,13500000,FECHS,5,4,2994.7609999999995
4915,26500000,PWD Housing Scheme,6,6,38659.642
4916,59000000,I-8,7,7,2994.7609999999995
5196,11000000,other,6,4,1361.255
5197,2000000,Jhangi Syedan,1,3,6806.275
5198,39500000,G-13,6,6,3811.514
5199,15000000,G-13,4,4,1089.004
5200,11000000,Pakistan Town,6,6,18240.817
5201,16800000,Pakistan Town,8,7,2722.51
5202,28000000,G-15,7,7,38659.642
5203,50000000,G-13,6,6,3811.514
5204,13000000,National Police Foundation O-9,0,0,2722.51
5205,12500000,PWD Housing Scheme,6,5,25319.343
5206,25000000,I-9,6,6,1633.506
5207,12000000,Bhara kahu,3,4,5445.0
5208,18000000,G-15,5,5,1905.757
5209,11000000,Pakistan Town,5,5,18240.817
5210,21500000,G-11,5,4,15246.056
5211,11500000,FECHS,0,0,2178.008
5212,8500000,Chatha Bakhtawar,6,4,1361.255
5213,9000000,Burma Town,0,0,1633.506
5214,34000000,D-12,7,7,2994.7609999999995
5215,29000000,Bahria Town,5,5,2722.51
5216,9000000,H-13,4,4,1089.004
5217,27500000,Kuri Road,4,4,5445.0
5218,10500000,Kuri Road,3,3,2178.008
5219,32000000,E-11,7,5,2178.008
5220,5500000,Burma Town,3,3,1633.506
5221,26000000,G-13,4,5,1905.757
5222,80000000,E-11,8,6,5445.0
5224,8000000,other,6,5,15246.056
5225,22500000,Ghauri Town,9,7,2722.51
5226,40000000,G-8,0,0,2178.008
5227,50000000,G-13,8,7,5445.0
5228,47000000,DHA Defence,8,6,5445.0
5229,25800000,DHA Defence,3,3,2722.51
5231,13500000,FECHS,6,5,2178.008
5235,13000000,Margalla Town,3,3,11979.043999999998
5236,6700000,Bahria Town,2,2,1361.255
5237,65000000,F-10,6,6,5445.0
5238,65500000,F-10,6,6,5445.0
5239,66000000,F-10,6,6,5445.0
5240,66500000,F-10,6,6,5445.0
5241,67500000,F-10,6,6,5445.0
5242,67000000,F-10,6,6,5445.0
5243,3700000,Burma Town,0,0,1089.004
5244,28500000,G-8,5,4,18240.817
5245,13000000,Pakistan Town,6,5,2722.51
5246,18500000,G-11,1,2,1361.255
5247,6100000,Bani Gala,3,3,11434.542
5248,10500000,Ghauri Town,0,0,1361.255
5249,6800000,Ghauri Town,3,2,1361.255
5250,50000000,DHA Defence,6,6,5445.0
5251,10000000,I-14,5,4,15246.056
5483,7000000,Ghauri Town,3,2,1361.255
5484,15000000,Pakistan Town,6,5,2722.51
5485,18000000,Korang Town,5,5,26136.096
5486,6700000,Koral Town,7,7,14973.804999999998
5487,10700000,FECHS,5,4,2178.008
5489,70000000,F-11,6,5,5445.0
5490,20000000,G-11,2,2,2178.008
5491,13000000,Soan Garden,5,4,1633.506
5492,15000000,FECHS,7,5,2178.008
5493,19000000,I-10,3,4,1633.506
5495,52500000,D-12,9,7,29675.359
5496,27000000,G-11,4,5,2178.008
5497,35000000,G-13,6,7,2722.51
5499,90000000,F-11,0,7,5445.0
5501,90000000,F-11,0,7,5445.0
5503,18000000,National Police Foundation,6,6,2722.51
5504,2885000,other,2,3,816.7529999999999
5505,89000000,F-11,9,7,5445.0
5506,87500000,F-11,0,7,5445.0
5507,13000000,National Police Foundation,6,5,2722.51
5508,11500000,other,6,6,1361.255
5509,45000000,G-15,10,11,81675.0
5511,5490000,Ali Pur,2,3,1633.506
5518,14000000,Bahria Town,3,3,1361.255
5519,9000000,other,5,5,1905.757
5520,25500000,G-13,7,4,1905.757
5521,20000000,G-8,4,4,15246.056
5522,22500000,G-10,4,5,1633.506
5523,18000000,National Police Foundation,6,6,2722.51
5524,7500000,Ghauri Town,5,4,1089.004
5525,9000000,I-13,5,6,1089.004
5803,280000000,G-6,0,9,179685.0
5804,22500000,G-10,4,5,1633.506
5808,4800000,Arsalan Town,2,2,1361.255
5809,15500000,National Police Foundation O-9,4,4,2722.51
5810,15500000,Pakistan Town,6,5,2994.7609999999995
5811,15500000,PWD Housing Scheme,6,5,2722.51
5813,8000000,other,5,6,1361.255
5814,9000000,Ghauri Town,0,2,1361.255
5815,5000000,Alipur Farash,3,4,816.7529999999999
5816,32500000,Bani Gala,5,4,2722.51
5817,15000000,Bahria Town,0,3,1361.255
5818,13500000,Soan Garden,6,4,1905.757
5819,5800000,Koral Town,3,5,1361.255
5821,15000000,I-10,3,4,1361.255
5822,18800000,G-15,6,6,26952.849
5823,24500000,DHA Defence,5,4,2722.51
5824,33500000,Bahria Town,6,5,70785.0
5825,7000000,Burma Town,6,8,1361.255
5826,5300000,Ghauri Town,3,2,11979.043999999998
5827,30000000,E-11,6,5,2722.51
5828,8500000,Chak Shahzad,4,4,17696.315
5829,7500000,Ghauri Town,5,4,1089.004
5830,15000000,Chatha Bakhtawar,0,0,1361.255
5831,8500000,Ghauri Town,4,4,1361.255
5832,14000000,Bhara kahu,6,6,2722.51
5833,27000000,G-15,8,7,3811.514
5834,57000000,F-6,0,0,48460.67799999999
6108,8000000,C-18,3,3,2722.51
6109,40000000,E-11,5,4,2178.008
6110,14000000,FECHS,6,4,2450.259
6111,13000000,F-17,4,4,1905.757
6112,19500000,G-14,0,0,29675.359
6113,27000000,Pakistan Town,6,7,65340.0
6114,28000000,G-8,0,0,1361.255
6115,5800000,Bhara kahu,3,2,1905.757
6116,16000000,D-12,3,3,1089.004
6119,18000000,Bani Gala,5,5,1633.506
6120,9500000,Ghauri Town,6,6,1361.255
6121,6250000,H-13,0,3,1361.255
6122,19000000,Soan Garden,6,6,33759.124
6123,12700000,FECHS,6,5,1905.757
6124,27500000,DHA Defence,5,4,29130.857
6125,4600000,Arsalan Town,3,2,1361.255
6126,14000000,F-10,4,4,816.7529999999999
6130,36000000,Chak Shahzad,9,4,2722.51
6131,22500000,E-11,5,5,2178.008
6133,7500000,other,5,5,15246.056
6134,4900000,Alipur Farash,4,4,1633.506
6407,26500000,Islamabad Highway,7,8,10890.0
6408,13000000,National Police Foundation,0,0,2722.51
6409,14500000,CBR Town,7,6,2178.008
6410,6500000,other,3,3,1361.255
6411,9000000,Shaheen Town,4,4,20418.825
6412,50000000,Emaar Canyon Views,6,5,65340.0
6414,35000000,E-11,6,5,2178.008
6415,26000000,DHA Defence,0,0,2722.51
6417,7800000,Ghauri Town,5,4,1089.004
6418,18000000,National Police Foundation,5,4,2722.51
6419,18000000,National Police Foundation,6,7,2722.51
6420,5083000,Koral Town,2,2,1089.004
6421,130000000,F-6,5,3,98010.0
6422,9500000,I-14,0,0,1089.004
6423,75000000,F-10,5,5,5445.0
6424,14000000,Bahria Town,4,3,1361.255
6425,26000000,G-11,7,0,1905.757
6426,85000000,F-10,6,6,59895.0
6427,28000000,G-11,7,7,2178.008
6428,8500000,Soan Garden,4,4,1361.255
6430,30000000,Korang Town,6,6,34848.128
6431,28500000,G-8,5,4,18240.817
6433,24500000,DHA Defence,5,4,3267.012
6434,6500000,Ghauri Town,3,2,1361.255
6435,16000000,FECHS,5,5,1905.757
6753,9500000,National Police Foundation,4,4,1361.255
6754,130000000,F-11,0,0,87120.0
6755,18000000,I-9,3,4,1905.757
6756,65000000,Bani Gala,10,9,98010.0
6758,11500000,Kuri Road,3,3,2178.008
6759,11500000,Kuri Road,3,3,2178.008
6761,4200000,Burma Town,2,2,9528.785
6762,16000000,G-11,3,4,1089.004
6763,80000000,F-10,3,3,5445.0
6764,3900000,Ali Pur,2,3,816.7529999999999
6765,11000000,Kuri Road,3,3,2178.008
6766,8500000,other,6,7,2178.008
6767,4000000,H-13,5,5,7623.027999999999
6768,6500000,Bani Gala,3,4,12251.294999999998
6769,12500000,G-11,1,2,11979.043999999998
6770,4900000,Ghauri Town,3,2,1361.255
6771,21000000,Islamabad - Murree Expressway,3,3,2178.008
6772,25000000,Bahria Town,6,4,2722.51
6773,45000000,DHA Defence,6,6,5445.0
6777,5300000,Ghauri Town,2,2,1089.004
7045,14000000,other,6,6,1361.255
7046,14000000,D-17,4,4,1633.506
7047,41500000,Bani Gala,6,6,10890.0
7048,3100000,other,0,3,1089.004
7258,14200000,G-13,5,3,1089.004
7259,8500000,other,4,6,1361.255
7260,15000000,G-13,4,4,1089.004
7261,15000000,G-13,4,4,1089.004
7262,9000000,H-13,0,0,1361.255
7263,15000000,other,4,4,4628.267
7264,6500000,other,6,5,1633.506
7265,18200000,G-15,5,5,2178.008
7266,28500000,G-11,4,4,1905.757
7267,17000000,H-13,6,6,3539.263
7269,20000000,G-8,4,4,15246.056
7270,17500000,Bhara kahu,10,11,5445.0
7271,39500000,DHA Defence,9,8,5445.0
7272,35500000,DHA Defence,6,5,5445.0
7273,3400000,Burma Town,0,0,8984.283
7274,100000000,F-7,5,4,59895.0
7276,28000000,Emaar Canyon Views,5,5,81675.0
7277,280000000,F-8,0,0,196020.0
7278,7000000,other,4,4,2722.51
7333,25000000,Bhara kahu,5,5,81675.0
7334,30000000,Bahria Town,6,5,2994.7609999999995
7335,180000000,G-6,6,6,114345.0
7336,290000000,F-7,9,9,10890.0
7337,220000000,F-8,9,7,98010.0
7338,135000000,F-7,9,8,5445.0
7339,14000000,Bahria Town,3,3,1361.255
7340,280000000,F-7,6,6,21780.0
7341,47000000,DHA Defence,8,6,5445.0
7343,5000000,Chatha Bakhtawar,2,2,9528.785
7345,25000000,Bahria Town,5,4,2722.51
7346,5800000,DHA Defence,3,3,2178.008
7347,29000000,G-13,6,5,3267.012
7348,13000000,FECHS,4,4,1905.757
7349,28000000,G-15,7,7,38659.642
7351,27500000,E-11,0,0,2722.51
7352,13000000,Bani Gala,4,4,3811.514
7545,20000000,I-10,0,0,2722.51
7547,4000000,Ghauri Town,2,2,816.7529999999999
7548,23000000,I-9,4,5,1905.757
7549,3600000,Taramrri,3,3,6806.275
7551,36000000,G-8,5,4,2450.259
7552,3800000,H-13,4,5,7623.027999999999
7554,7000000,Bhara kahu,6,5,1361.255
7555,21000000,Bahria Town,6,5,2722.51
7839,13700000,Bahria Town,3,3,1361.255
7841,47500000,G-10,7,7,38659.642
7842,16000000,H-13,7,7,2722.51
7843,4800000,Ghauri Town,2,2,1089.004
7844,15000000,Ghauri Town,7,9,18240.817
7845,190000000,F-7,7,6,114345.0
